,id,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage,response
0,227831,0.1379549141,0.3538461538,1,0.1016852869,0,1-2 Year,1,-0.4660205035,0.2097137628,0.3771626298,0.7843092316
1,219270,0.1379549141,0.3846153846,1,0.1870630398,0,1-2 Year,1,0.4525377471,0.1935077586,0.9342560554,0.7049267311
2,106698,0.1040223002,0.3076923077,1,0.1870630398,1,1-2 Year,0,-0.1634584972,0.3537441741,0.7577854671,0.9991793096
3,318436,0.1379549141,0.6153846154,1,0.1870630398,0,1-2 Year,1,0.3364897524,0.2097137628,0.7404844291,0.7171708027
4,42366,0.1379549141,0.0461538462,1,0.1870630398,0,1-2 Year,1,-1.6234190157,0.0012890022,0.875432526,0.6613673703
5,58773,0.1379549141,0.6615384615,1,0.1870630398,0,> 2 Years,1,1.0589989859,0.1935077586,0.9619377163,0.7143669557
6,31503,0.1040223002,0.2615384615,1,0.0739940311,1,1-2 Year,0,-1.6234190157,0.3537441741,0.8788927336,0.9995179704
7,236714,0.1040223002,0.0769230769,1,0.104607721,0,< 1 Year,1,-1.6234190157,0.3537441741,0.0692041522,0.7955020432
8,298514,0.1379549141,0.6769230769,1,0.150798722,1,1-2 Year,0,1.2162684377,0.1935077586,0.3667820069,0.9992544161
9,377971,0.1379549141,0.7076923077,1,0.0625686059,1,1-2 Year,0,0.8564382577,0.1935077586,0.9688581315,0.9995079945
10,99749,0.1379549141,0.0461538462,1,0.0695093458,1,< 1 Year,0,-0.1068880068,0.3537441741,0.9100346021,0.999500922
11,88500,0.1379549141,0.4769230769,1,0.0714553991,0,1-2 Year,1,-1.6234190157,0.0016465117,0.2975778547,0.7850523804
12,46221,0.1379549141,0.5846153846,1,0.1229831885,1,1-2 Year,0,0.4450957916,0.1935077586,0.1730103806,0.9993398571
13,301280,0.1379549141,0.4769230769,1,0.0995762712,0,1-2 Year,1,-1.6234190157,0.0023254517,0.4221453287,0.7619788155
14,187841,0.1379549141,0.2923076923,1,0.1016852869,0,1-2 Year,1,-0.5155560202,0.1935077586,0.3737024221,0.7801460899
15,309402,0.1379549141,0.0769230769,1,0.0999176955,0,1-2 Year,1,-1.6234190157,0.1935077586,0.7474048443,0.7759037966
16,225388,0.1040223002,0.3692307692,1,0.1097560976,0,1-2 Year,1,-1.6234190157,0.1935077586,0.3529411765,0.7780620831
17,272188,0.1040223002,0.2615384615,1,0.0958711869,1,1-2 Year,0,0.1753830424,0.3537441741,0.7024221453,0.999457456
18,311087,0.1379549141,0.0769230769,1,0.0999176955,0,< 1 Year,1,-0.3520074185,0.3537441741,0.8408304498,0.7959259943
19,122084,0.1379549141,0.0153846154,1,0.1097234612,0,< 1 Year,1,-0.5659636412,0.0572867981,0.9100346021,0.7427253201
20,258972,0.1379549141,0.0461538462,1,0.1127921113,1,< 1 Year,0,0.2147440105,0.3537441741,0.5501730104,0.999389228
21,188591,0.1379549141,0.0307692308,1,0.0731707317,0,< 1 Year,1,0.1776505132,0.2097137628,0.3252595156,0.7953454005
22,187998,0.1379549141,0.0,1,0.1870630398,0,< 1 Year,1,1.4498760743,0.0572867981,0.8685121107,0.6630118975
23,232764,0.1379549141,0.2,1,0.1870630398,0,1-2 Year,1,0.1845692063,0.2097137628,0.3598615917,0.7020820267
24,7528,0.1040223002,0.1076923077,1,0.1127921113,1,< 1 Year,0,-0.4296246895,0.3537441741,0.6297577855,0.9993996525
25,86342,0.1040223002,0.3384615385,1,0.1870630398,0,1-2 Year,1,0.1859064327,0.2097137628,0.6678200692,0.7069358939
